"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. . "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. apnea monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays apnea specific levels.  us fda regulates apnea monitors under 21 cfr 868.2375 and under fda product code bzq.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. arterial blood gas monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays arterial blood gas specific levels.  us fda regulates arterial blood gas monitors under 21 cfr 868.1150 and under fda product code ccc.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. end tidal carbon dioxide monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays end tidal carbon dioxide specific levels.  us fda regulates end tidal carbon dioxide monitors under 21 cfr 868.14 and under fda product code cck.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. esophageal stethoscopes. in this classification, this commodity indicates a product used as a non powered device that is inserted into a patients esophagus to enable the user to listen to heart and breath sounds in a medical setting.  us fda regulates esophageal stethoscopes under 21 cfr 868.1920 and under fda product code bzt.  most nations, for tariff and trade purposes, schedule these products under hs 392690.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. respiratory monitoring kits. in this classification, this commodity indicates in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform respiratory monitoring in a medical setting. a product.  us fda regulates respiratory monitoring kits under 21 cfr 868.1850 and under fda product code bzk.  most nations, for tariff and trade purposes, schedule these products under hs 841381.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. arterial blood sampling kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform an arterial blood sampling procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 847982.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. blood gas monitoring cells. in this classification, this commodity indicates a product used as a blood gas monitoring cell in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 847982.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. blood gas monitoring sensors. in this classification, this commodity indicates a product used as a blood gas monitoring sensor in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. pulmonary testing system diffusion sample bags. in this classification, this commodity indicates a product used as a testing system diffusion sample bag in association with a pulmonary procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 392690.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. ventilatory effort recorders. in this classification, this commodity indicates a product used as a recorded of ventilatory capability in patients in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. apnea monitor accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with apnea monitors.  most nations, for tariff and trade purposes, schedule these products under hs 847982.. "
