"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. . "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. aids prevention or control services. in this classification, this commodity indicates the activities required to prevent or control acquired immune deficiency disease. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. parasitic disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control parasitic diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. fungal disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control fungal diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. tuberculosis prevention or control services. in this classification, this commodity indicates the activities required to prevent or control tuberculosis. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. leprosy prevention or control services. in this classification, this commodity indicates the activities required to prevent or control leprosy. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. bacterial disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control bacterial diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. sexually transmitted disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control sexually transmitted diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. viral disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control viral diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. zoonotic disease prevention or control services. in this classification, this commodity indicates the activities required to prevent or control zoonotic diseases. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. vaccination services. in this classification, this commodity indicates the activities required to provide and manage quarantines. "
"contagious disease prevention and control. in this classification, this class indicates the healthcare services with the depth and breadth to prevent and control contagious diseases. quarantine services. in this classification, this commodity indicates the activities required to provide and manage vaccinations. "
